date;transaction_details;description;category;payment_method;withdrawal_amt;deposit_amt;user_id
2024-01-01;Fund Transfer From Bank Rakyat;Transfer of funds from Bank Rakyat;Income/Salary;Bank transfer;0.0;100000.0;1
2024-01-01;Fund Transfer From Bank Islam;Transfer of funds from Bank Islam;Income/Salary;Bank transfer;0.0;50000.0;1
2024-01-01;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;772.0;0.0;1
2024-01-01;Planning;Fees for planning applications or permits;Other Expenses;Online banking;42.0;0.0;1
2024-01-01;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;599.0;0.0;1
2024-01-01;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment ;315.0;0.0;1
2024-01-01;Council Tax;Local government tax levied on residential properties;Government Services;Direct debit;871.0;0.0;1
2024-01-02;Mortgages;Payments towards mortgage loans;Other Expenses;Direct debit;970.0;0.0;1
2024-01-02;Business Rates;Taxes imposed on non-residential properties used for business purposes;Government Services;Online banking;675.0;0.0;1
2024-01-02;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;214.0;0.0;1
2024-01-02;Business Rates;Taxes imposed on non-residential properties used for business purposes;Government Services;Online banking;813.0;0.0;1
2024-01-02;Museums;Admission fees or charges for services provided by museums;Other Expenses;Cash;50.0;0.0;1
2024-01-02;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment ;378.0;0.0;1
2024-01-03;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;247.0;0.0;1
2024-01-03;Housing Repairs & Keys;Charges for repairs and replacement of keys for housing units;Other Expenses;Online payment;42.0;0.0;1
2024-01-03;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;889.0;0.0;1
2024-01-03;Parks and Countryside;Charges for access to parks and countryside facilities;Other Expenses;Cash;605.0;0.0;1
2024-01-03;Fund Transfer From Bank Islam;Transfer of funds from Bank Islam;Income/Salary;Bank transfer;0.0;4000.0;1
2024-01-03;Grocery Shopping;Expenses for weekly grocery shopping;Groceries;Debit Card;250.0;0.0;1
2024-01-03;Internet Subscription;Monthly subscription fee for internet service;Utilities;Direct debit;60.0;0.0;1
2024-01-03;Mobile Phone Bill;Monthly bill for mobile phone usage;Utilities;Online banking;40.0;0.0;1
2024-01-03;Business Rates;Taxes imposed on non-residential properties used for business purposes;Government Services;Online banking;831.0;0.0;1
2024-01-03;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment;189.0;0.0;1
2024-01-03;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;812.0;0.0;1
2024-01-03;Museums;Admission fees or charges for services provided by museums;Other Expenses;Cash;326.0;0.0;1
2024-01-04;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;178.0;0.0;1
2024-01-04;City & Environmental Services;Charges for various city and environmental services such as waste management, recycling, and environmental protection;Government Services;Online banking;91.0;0.0;1
2024-01-04;Highways;Fees for maintenance and development of roads and highways;Government Services;Direct debit;12.0;0.0;1
2024-01-04;Car Insurance;Annual car insurance premium;Insurance;Bank transfer;1200.0;0.0;1
2024-01-04;Dining Out;Expenses for dining out;Dining;Cash;80.0;0.0;1
2024-01-04;Gym Membership;Monthly membership fee for gym;Health & Fitness;Debit Card;70.0;0.0;1
2024-01-05;Fund Transfer From Bank Islam;Transfer of funds from Bank Islam;Income/Salary;Bank transfer;0.0;20000.0;1
2024-01-05;Asset Regeneration;Charges related to the regeneration or redevelopment of assets;Other Expenses;Bank transfer;193.0;0.0;1
2024-01-05;Children's Services;Fees for various services provided to children, such as childcare or youth programs;Other Expenses;Direct debit;830.0;0.0;1
2024-01-05;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment ;56.0;0.0;1
2024-01-05;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;992.0;0.0;1
2024-01-05;Highways;Fees for maintenance and development of roads and highways;Government Services;Direct debit;309.0;0.0;1
2024-01-05;Highways;Fees for maintenance and development of roads and highways;Government Services;Direct debit;77.0;0.0;1
2024-01-05;Gas Bill;Monthly gas utility bill;Utilities;Direct debit;50.0;0.0;1
2024-01-05;Movie Tickets;Expenses for movie tickets;Entertainment;Online payment;30.0;0.0;1
2024-01-05;Petrol;Fuel expenses for the car;Transportation;Debit Card;100.0;0.0;1
2024-01-05;Nurseries;Fees for childcare services;Other Expenses;Direct debit;372.0;0.0;1
2024-01-05;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;932.0;0.0;1
2024-01-05;Planning;Fees for planning applications or permits;Other Expenses;Online banking;89.0;0.0;1
2024-01-05;Planning;Fees for planning applications or permits;Other Expenses;Online banking;938.0;0.0;1
2024-01-05;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;766.0;0.0;1
